-3.141593 | 0.092000 | - | 0.101321 | 
-2.988344 | 0.100703 | - | 0.111980 | 
-2.835096 | 0.110647 | - | 0.124413 | 
-2.681847 | 0.122066 | - | 0.139037 | 
-2.528599 | 0.135248 | - | 0.156401 | 
-2.375351 | 0.150550 | - | 0.177233 | 
-2.222102 | 0.168414 | - | 0.202522 | 
-2.068854 | 0.189388 | - | 0.233636 | 
-1.915605 | 0.214154 | - | 0.272513 | 
-1.762357 | 0.243552 | - | 0.321968 | 
-1.609108 | 0.278611 | - | 0.386215 | 
-1.455860 | 0.320561 | - | 0.471803 | 
-1.302612 | 0.370810 | 0.306197 | 0.589346 | 
-1.149363 | 0.430842 | 0.431026 | 0.756982 | 
-0.996115 | 0.501946 | 0.486699 | 1.007816 | 
-0.842866 | 0.584650 | 0.499600 | 1.407611 | 
-0.689618 | 0.677703 | 0.477534 | 2.102727 | 
-0.536369 | 0.776583 | 0.422916 | 3.475937 | 
-0.383121 | 0.872006 | 0.336200 | 6.812836 | 
-0.229873 | 0.949811 | 0.218584 | 18.924546 | 
-0.076624 | 0.994163 | 0.076178 | 170.320910 | 
0.076624 | 0.994163 | 0.076178 | 170.320910 | 
0.229873 | 0.949811 | 0.218584 | 18.924546 | 
0.383121 | 0.872006 | 0.336200 | 6.812836 | 
0.536369 | 0.776583 | 0.422916 | 3.475937 | 
0.689618 | 0.677703 | 0.477534 | 2.102727 | 
0.842866 | 0.584650 | 0.499600 | 1.407611 | 
0.996115 | 0.501946 | 0.486699 | 1.007816 | 
1.149363 | 0.430842 | 0.431026 | 0.756982 | 
1.302612 | 0.370810 | 0.306197 | 0.589346 | 
1.455860 | 0.320561 | - | 0.471803 | 
1.609108 | 0.278611 | - | 0.386215 | 
1.762357 | 0.243552 | - | 0.321968 | 
1.915605 | 0.214154 | - | 0.272513 | 
2.068854 | 0.189388 | - | 0.233636 | 
2.222102 | 0.168414 | - | 0.202522 | 
2.375351 | 0.150550 | - | 0.177233 | 
2.528599 | 0.135248 | - | 0.156401 | 
2.681847 | 0.122066 | - | 0.139037 | 
2.835096 | 0.110647 | - | 0.124413 | 
2.988344 | 0.100703 | - | 0.111980 | 
3.141593 | 0.092000 | - | 0.101321 | 
